아비장: Africa/Abidjan
인디애나/녹스: America/Indiana/Knox
인디애나/마렝고: America/Indiana/Marengo
인디애나/피터스버그: America/Indiana/Petersburg
인디애나/텔시티: America/Indiana/Tell_City
인디애나/비베이: America/Indiana/Vevay
인디애나/빈센즈: America/Indiana/Vincennes
인디애나/위나맥: America/Indiana/Winamac
인디애나폴리스: America/Indianapolis
이누빅: America/Inuvik
이칼루이트: America/Iqaluit
자메이카: America/Jamaica
후후이: America/Jujuy
주노: America/Juneau
켄터키/루이빌: America/Kentucky/Louisville
켄터키/몬티셀로: America/Kentucky/Monticello
녹스_IN: America/Knox_IN
크랄렌데이크: America/Kralendijk
라파스: America/La_Paz
리마: America/Lima
로스앤젤레스: America/Los_Angeles
루이빌: America/Louisville
로어프린세스: America/Lower_Princes
마세이오: America/Maceio
마나과: America/Managua
마나우스: America/Manaus
마리고: America/Marigot
마르티니크: America/Martinique
마타모로스: America/Matamoros
마사틀란: America/Mazatlan
멘도사: America/Mendoza
메노미니: America/Menominee
메리다: America/Merida
메틀라카틀라: America/Metlakatla
멕시코시티: America/Mexico_City
미클롱: America/Miquelon
멍크턴: America/Moncton
몬테레이: America/Monterrey
몬테비데오: America/Montevideo
몬트리올: America/Montreal
몬트세랫: America/Montserrat
나소: America/Nassau
뉴욕: America/New_York
니피곤: America/Nipigon
놈: America/Nome
노로냐: America/Noronha
노스다코타/뷸라: America/North_Dakota/Beulah
노스다코타/센터: America/North_Dakota/Center
노스다코타/뉴세일럼: America/North_Dakota/New_Salem
누크: America/Nuuk
오히나가: America/Ojinaga
파나마: America/Panama
팡니르퉁: America/Pangnirtung
파라마리보: America/Paramaribo
피닉스: America/Phoenix
포르토프랭스: America/Port-au-Prince
포트오브스페인: America/Port_of_Spain
포르투아크레: America/Porto_Acre
포르투벨류: America/Porto_Velho
푸에르토리코: America/Puerto_Rico
푼타아레나스: America/Punta_Arenas
레이니리버: America/Rainy_River
랭킨인렛: America/Rankin_Inlet
헤시피: America/Recife
리자이나: America/Regina
레졸루트: America/Resolute
히우브랑쿠: America/Rio_Branco
로사리오: America/Rosario
산타이사벨: America/Santa_Isabel
산타렘: America/Santarem
산티아고: America/Santiago
산토도밍고: America/Santo_Domingo
상파울루: America/Sao_Paulo
스코르스뷔순: America/Scoresbysund
십록: America/Shiprock
싯카: America/Sitka
생바르텔레미: America/St_Barthelemy
세인트존스: America/St_Johns
세인트키츠: America/St_Kitts
세인트루시아: America/St_Lucia
세인트토마스: America/St_Thomas
세인트빈센트: America/St_Vincent
스위프트커런트: America/Swift_Current
테구시갈파: America/Tegucigalpa
툴레: America/Thule
썬더베이: America/Thunder_Bay
티후아나: America/Tijuana
토론토: America/Toronto
토르톨라: America/Tortola
밴쿠버: America/Vancouver
버진: America/Virgin
화이트호스: America/Whitehorse
위니펙: America/Winnipeg
야쿠탯: America/Yakutat
옐로나이프: America/Yellowknife
케이시: Antarctica/Casey
데이비스: Antarctica/Davis
뒤몽 뒤르빌: Antarctica/DumontDUrville
매쿼리: Antarctica/Macquarie
모슨: Antarctica/Mawson
맥머도: Antarctica/McMurdo
파머: Antarctica/Palmer
로더러: Antarctica/Rothera
남극점: Antarctica/South_Pole
쇼와: Antarctica/Syowa
트롤: Antarctica/Troll
보스토크: Antarctica/Vostok
롱위에아르뷔엔: Arctic/Longyearbyen
아덴: Asia/Aden
알마티: Asia/Almaty
암만: Asia/Amman
아나디르: Asia/Anadyr
악타우: Asia/Aqtau
악토베: Asia/Aqtobe
아슈하바트: Asia/Ashgabat
아슈하바트: Asia/Ashkhabad
아티라우: Asia/Atyrau
바그다드: Asia/Baghdad
바레인: Asia/Bahrain
바쿠: Asia/Baku
방콕: Asia/Bangkok
바르나울: Asia/Barnaul
베이루트: Asia/Beirut
비슈케크: Asia/Bishkek
브루나이: Asia/Brunei
콜카타: Asia/Calcutta
치타: Asia/Chita
초이발산: Asia/Choibalsan
충칭: Asia/Chongqing
충킹: Asia/Chungking
콜롬보: Asia/Colombo
다카: Asia/Dacca
다마스쿠스: Asia/Damascus
다카: Asia/Dhaka
딜리: Asia/Dili
두바이: Asia/Dubai
두샨베: Asia/Dushanbe
파마구스타: Asia/Famagusta
가자: Asia/Gaza
하얼빈: Asia/Harbin
헤브론: Asia/Hebron
호찌민: Asia/Ho_Chi_Minh
홍콩: Asia/Hong_Kong
호브드: Asia/Hovd
이르쿠츠크: Asia/Irkutsk
이스탄불: Asia/Istanbul
자카르타: Asia/Jakarta
자야푸라: Asia/Jayapura
예루살렘: Asia/Jerusalem
카불: Asia/Kabul
캄차카: Asia/Kamchatka
카라치: Asia/Karachi
카슈가르: Asia/Kashgar
카트만두: Asia/Kathmandu
카트만두: Asia/Katmandu
칸디가: Asia/Khandyga
콜카타: Asia/Kolkata
크라스노야르스크: Asia/Krasnoyarsk
쿠알라룸푸르: Asia/Kuala_Lumpur
쿠칭: Asia/Kuching
쿠웨이트: Asia/Kuwait
마카오: Asia/Macao
마카오: Asia/Macau
마가단: Asia/Magadan
마카사르: Asia/Makassar
마닐라: Asia/Manila
무스카트: Asia/Muscat
니코시아: Asia/Nicosia
노보쿠즈네츠크: Asia/Novokuznetsk
노보시비르스크: Asia/Novosibirsk
옴스크: Asia/Omsk
오랄: Asia/Oral
프놈펜: Asia/Phnom_Penh
폰티아낙: Asia/Pontianak
평양: Asia/Pyongyang
카타르: Asia/Qatar
코스타나이: Asia/Qostanay
키질로르다: Asia/Qyzylorda
양곤: Asia/Rangoon
리야드: Asia/Riyadh
사이공: Asia/Saigon
사할린: Asia/Sakhalin
사마르칸트: Asia/Samarkand
서울: Asia/Seoul
상하이: Asia/Shanghai
싱가포르: Asia/Singapore
스레드네콜림스크: Asia/Srednekolymsk
타이베이: Asia/Taipei
타슈켄트: Asia/Tashkent
트빌리시: Asia/Tbilisi
테헤란: Asia/Tehran
텔아비브: Asia/Tel_Aviv
팀부: Asia/Thimbu
팀푸: Asia/Thimphu
도쿄: Asia/Tokyo
톰스크: Asia/Tomsk
우중판당: Asia/Ujung_Pandang
울란바토르: Asia/Ulaanbaatar
울란바토르: Asia/Ulan_Bator 
우루무치: Asia/Urumqi
우스티네라: Asia/Ust-Nera
비엔티안: Asia/Vientiane
블라디보스토크: Asia/Vladivostok
야쿠츠크: Asia/Yakutsk
양곤: Asia/Yangon
예카테린부르크: Asia/Yekaterinburg
예레반: Asia/Yerevan
아조레스: Atlantic/Azores
버뮤다: Atlantic/Bermuda
카나리아: Atlantic/Canary
카보베르데: Atlantic/Cape_Verde
파로: Atlantic/Faeroe
파로: Atlantic/Faroe
얀마옌: Atlantic/Jan_Mayen
마데이라: Atlantic/Madeira
레이캬비크: Atlantic/Reykjavik
사우스조지아: Atlantic/South_Georgia
세인트헬레나: Atlantic/St_Helena
스탠리: Atlantic/Stanley
애들레이드: Australia/Adelaide
브리즈번: Australia/Brisbane
브로큰힐: Australia/Broken_Hill
캔버라: Australia/Canberra
커리: Australia/Currie
다윈: Australia/Darwin
유클라: Australia/Eucla
호바트: Australia/Hobart
로드하우섬: Australia/LHI
린더만: Australia/Lindeman
로드하우: Australia/Lord_Howe
멜버른: Australia/Melbourne
뉴사우스웨일스주: Australia/NSW
북부: Australia/North
퍼스: Australia/Perth
퀸즐랜드: Australia/Queensland
남부: Australia/South
시드니: Australia/Sydney
태즈메이니아: Australia/Tasmania
빅토리아: Australia/Victoria
서부: Australia/West
얀코윈나: Australia/Yancowinna
아크레: Brazil/Acre
드노로냐: Brazil/DeNoronha
동부: Brazil/East
서부: Brazil/West 
대서양: Canada/Atlantic 
중부: Canada/Central 
동부: Canada/Eastern 
산악: Canada/Mountain 
뉴펀들랜드: Canada/Newfoundland 
태평양: Canada/Pacific 
서스캐처원: Canada/Saskatchewan 
유콘: Canada/Yukon 
칠레/본토: Chile/Continental 
칠레/이스터섬: Chile/EasterIsland 
쿠바: Cuba
이집트: Egypt
아일랜드: Eire
그리니치: Etc/Greenwich
유니버설: Etc/Universal 
줄루: Etc/Zulu 
암스테르담: Europe/Amsterdam
안도라: Europe/Andorra
아스트라한: Europe/Astrakhan
아테네: Europe/Athens
벨파스트: Europe/Belfast
베오그라드: Europe/Belgrade
베를린: Europe/Berlin
브라티슬라바: Europe/Bratislava
브뤼셀: Europe/Brussels
부쿠레슈티: Europe/Bucharest
부다페스트: Europe/Budapest
부징겐: Europe/Busingen
키시너우: Europe/Chisinau
코펜하겐: Europe/Copenhagen
더블린: Europe/Dublin
지브롤터: Europe/Gibraltar
건지: Europe/Guernsey
헬싱키: Europe/Helsinki
맨섬: Europe/Isle_of_Man
이스탄불: Europe/Istanbul
저지: Europe/Jersey
칼리닌그라드: Europe/Kaliningrad
키예프: Europe/Kiev 
키로프: Europe/Kirov
키이우: Europe/Kyiv
리스본: Europe/Lisbon
류블랴나: Europe/Ljubljana
런던: Europe/London
룩셈부르크: Europe/Luxembourg
마드리드: Europe/Madrid
몰타: Europe/Malta
마리에함: Europe/Mariehamn
민스크: Europe/Minsk
모나코: Europe/Monaco
모스크바: Europe/Moscow
니코시아: Europe/Nicosia
오슬로: Europe/Oslo
파리: Europe/Paris
포드고리차: Europe/Podgorica
프라하: Europe/Prague
리가: Europe/Riga
로마: Europe/Rome
사마라: Europe/Samara
산마리노: Europe/San_Marino
사라예보: Europe/Sarajevo
사라토프: Europe/Saratov
심페로폴: Europe/Simferopol
스코페: Europe/Skopje
소피아: Europe/Sofia
스톡홀름: Europe/Stockholm
탈린: Europe/Tallinn
티라나: Europe/Tirane
티라스폴: Europe/Tiraspol 
울리야놉스크: Europe/Ulyanovsk
우즈고로드: Europe/Uzhgorod
파두츠: Europe/Vaduz
바티칸: Europe/Vatican
비엔나: Europe/Vienna
빌뉴스: Europe/Vilnius
볼고그라드: Europe/Volgograd
바르샤바: Europe/Warsaw
자그레브: Europe/Zagreb
자포리자: Europe/Zaporozhye
취리히: Europe/Zurich
영국: GB 
영국-아일랜드: GB-Eire 
그리니치: Greenwich
하와이표준시: HST 
홍콩: Hongkong 
아이슬란드: Iceland 
인도양/안타나나리보: Indian/Antananarivo
인도양/차고스: Indian/Chagos
인도양/크리스마스: Indian/Christmas
인도양/코코스: Indian/Cocos
인도양/코모로: Indian/Comoro
인도양/케르겔렌: Indian/Kerguelen
인도양/마헤: Indian/Mahe
인도양/몰디브: Indian/Maldives
인도양/모리셔스: Indian/Mauritius
인도양/마요트: Indian/Mayotte
인도양/레위니옹: Indian/Reunion
이란: Iran 
이스라엘: Israel 
자메이카: Jamaica 
일본: Japan 
콰잘레인: Kwajalein 
리비아: Libya
멕시코/바하니쉬: Mexico/BajaNorte 
멕시코/바하수르: Mexico/BajaSur 
멕시코/일반: Mexico/General 
뉴질랜드: NZ 
뉴질랜드-채텀: NZ-CHAT 
나바호: Navajo 
중국: PRC
태평양/아피아: Pacific/Apia
태평양/오클랜드: Pacific/Auckland
태평양/부건빌: Pacific/Bougainville
태평양/채텀: Pacific/Chatham
태평양/추크: Pacific/Chuuk
태평양/이스터: Pacific/Easter
태평양/에파테: Pacific/Efate
태평양/엔더버리: Pacific/Enderbury
태평양/파카오포: Pacific/Fakaofo
태평양/피지: Pacific/Fiji
태평양/푸나푸티: Pacific/Funafuti
태평양/갈라파고스: Pacific/Galapagos
태평양/감비어: Pacific/Gambier
태평양/과달카날: Pacific/Guadalcanal
태평양/괌: Pacific/Guam
태평양/호놀룰루: Pacific/Honolulu
태평양/존스턴: Pacific/Johnston
태평양/캔턴: Pacific/Kanton 
태평양/키리티마티: Pacific/Kiritimati
태평양/코스라에: Pacific/Kosrae
태평양/콰잘레인: Pacific/Kwajalein
태평양/마주로: Pacific/Majuro
태평양/마르케사스: Pacific/Marquesas
태평양/미드웨이: Pacific/Midway
태평양/나우루: Pacific/Nauru
태평양/니우에: Pacific/Niue
태평양/노퍽: Pacific/Norfolk
태평양/누메아: Pacific/Noumea
태평양/파고파고: Pacific/Pago_Pago
태평양/팔라우: Pacific/Palau
태평양/핏케언: Pacific/Pitcairn
태평양/폰페이: Pacific/Pohnpei
태평양/폰페이: Pacific/Ponape 
태평양/포트모르즈비: Pacific/Port_Moresby
태평양/라로통가: Pacific/Rarotonga
태평양/사이판: Pacific/Saipan
태평양/사모아: Pacific/Samoa 
태평양/타히티: Pacific/Tahiti
태평양/타라와: Pacific/Tarawa
태평양/통가타푸: Pacific/Tongatapu
태평양/추크: Pacific/Truk 
태평양/웨이크: Pacific/Wake
태평양/왈리스: Pacific/Wallis
태평양/얍: Pacific/Yap
폴란드: Poland 
포르투갈: Portugal 
대만: ROC
대한민국: ROK 
싱가포르: Singapore 
터키: Turkey
미국/알래스카: US/Alaska 
미국/알류샨: US/Aleutian 
미국/애리조나: US/Arizona 
미국/중부: US/Central 
미국/동인디애나: US/East-Indiana
미국/동부: US/Eastern 
미국/하와이: US/Hawaii 
미국/인디애나-스타크: US/Indiana-Starke
미국/미시간: US/Michigan 
미국/산악: US/Mountain 
미국/태평양: US/Pacific
미국/사모아: US/Samoa 
줄루: Zulu 
